Order_ID,Order_Date,Customer_ID,City,Province,Category,Product_Name,Price,Quantity,Discount_%,Delivery_Charges,Payment_Method,Order_Status,Rating,Sales,Profit,negative_sales_flag,Year,Month,Month_Name,Profit_Margin,z_score,z_outlier,final_outlier,outlier_type
ORD100001,2025-04-13,CUST4772,Rawalpindi,Punjab,Fashion,Shoes,2018,4,0,200,COD,Delivered,5.0,10290.0,1813.47,False,2025,4,Apr,0.17623615160349854,0.6321295516698086,False,False,normal
ORD100002,2025-01-21,CUST3169,Karachi,Sindh,Books,Novel,1062,3,0,150,COD,Delivered,4.0,3336.0,236.72,False,2025,1,Jan,0.07095923261390888,0.39659988929399725,False,False,normal
ORD100003,2025-08-03,CUST4380,Faisalabad,Punjab,Books,Exam Guide,1397,2,10,250,Easypaisa,Delivered,5.0,2764.6,434.85,False,2025,8,Aug,0.1572921941691384,0.481129081495136,False,False,normal
ORD100004,2025-09-15,CUST2515,Lahore,Punjab,Home Decor,Wall Frame,4059,4,0,250,COD,Delivered,4.0,16486.0,2064.85,False,2025,9,Sep,0.12524869586315662,1.5487254124997971,False,False,normal
ORD100005,2025-10-21,CUST1747,Rawalpindi,Punjab,Fashion,Handbag,3779,1,10,150,JazzCash,Delivered,5.0,3551.1,504.94,False,2025,10,Oct,0.14219256005181494,0.3647793970950737,False,False,normal
ORD100006,2025-12-11,CUST1474,Rawalpindi,Punjab,Mobile Accessories,Screen Protector,2769,1,0,150,COD,Delivered,3.0,3472.8,370.44,False,2025,12,Dec,0.10666897028334485,0.37636258881602075,False,False,normal
ORD100007,2025-02-28,CUST1975,Peshawar,Khyber Pakhtunkhwa,Electronics,Mouse,5697,4,5,300,Card,Delivered,4.0,21948.6,2793.83,False,2025,2,Feb,0.1272896676781207,2.3568268568784116,False,True,normal
ORD100008,2025-09-28,CUST4005,Faisalabad,Punjab,Electronics,Smart Watch,6712,2,15,200,Card,Delivered,4.0,11610.4,1611.27,False,2025,9,Sep,0.13877816440432716,0.827460922657529,False,False,normal
ORD100009,2025-06-24,CUST3879,Sialkot,Punjab,Grocery,Cooking Oil,579,4,20,150,COD,Delivered,4.0,2002.8,200.05,False,2025,6,Jun,0.09988516077491513,0.5938248088644524,False,False,normal
ORD100010,2025-05-11,CUST4890,Karachi,Sindh,Mobile Accessories,Phone Cover,2736,1,15,300,COD,Cancelled,4.0,0.0,-150.0,False,2025,5,May,,0.8901059886692139,False,False,normal
ORD100011,2025-05-15,CUST3945,Lahore,Punjab,Home Decor,Wall Frame,2527,1,0,250,Easypaisa,Delivered,4.0,2777.0,358.6,False,2025,5,May,0.1291321570039611,0.4792947063056118,False,False,normal
ORD100012,2025-12-06,CUST2390,Karachi,Sindh,Beauty,Shampoo,2396,4,10,150,Easypaisa,Delivered,4.0,10500.72,1019.54,False,2025,12,Dec,0.09709238985517184,0.6633020952130775,False,False,normal
ORD100013,2025-09-21,CUST2021,Multan,Punjab,Books,Story Book,1159,2,0,300,COD,Returned,4.0,0.0,-150.0,False,2025,9,Sep,,0.8901059886692139,False,False,normal
ORD100014,2025-02-23,CUST4843,Islamabad,Islamabad Capital Territory,Fashion,Kurta,1431,2,15,250,Easypaisa,Delivered,4.0,2682.7,244.58,False,2025,2,Feb,0.09116934431729229,0.4932448337549772,False,False,normal
ORD100015,2025-11-06,CUST3317,Lahore,Punjab,Home Decor,Cushion,760,4,20,200,Card,Delivered,5.0,3483.2,510.07,False,2025,11,Nov,0.14643718419843824,0.3748240805925489,False,False,normal
ORD100016,2025-12-17,CUST4342,Islamabad,Islamabad Capital Territory,Grocery,Tea Pack,761,4,5,200,Card,Delivered,3.0,3670.16,495.27,False,2025,12,Dec,0.13494507051463697,0.34716643660598095,False,False,normal
ORD100017,2025-08-03,CUST3767,Rawalpindi,Punjab,Sports,Cricket Bat,4191,1,0,250,JazzCash,Delivered,3.0,4441.0,465.71,False,2025,8,Aug,0.10486602116640396,0.23313339055010807,False,False,normal
ORD100018,2025-08-25,CUST1878,Karachi,Sindh,Electronics,Earbuds,7062,2,15,300,Easypaisa,Returned,4.0,0.0,-150.0,False,2025,8,Aug,,0.8901059886692139,False,False,normal
ORD100019,2025-02-22,CUST1379,Islamabad,Islamabad Capital Territory,Beauty,Perfume,2090,4,15,300,JazzCash,Delivered,5.0,7406.0,1033.43,False,2025,2,Feb,0.1395395625168782,0.20548938662240906,False,False,normal
ORD100020,2025-02-10,CUST3062,Lahore,Punjab,Grocery,Dates,1236,1,20,200,Easypaisa,Delivered,4.0,1188.8,132.09,False,2025,2,Feb,0.1111120457604307,0.7142426640477337,False,False,normal
ORD100021,2025-10-28,CUST4134,Lahore,Punjab,Sports,Cricket Bat,2670,4,0,200,COD,Delivered,5.0,10880.0,1642.62,False,2025,10,Oct,0.15097610294117647,0.7194103066552335,False,False,normal
ORD100022,2025-05-19,CUST3640,Karachi,Sindh,Electronics,Earbuds,8498,3,0,150,JazzCash,Delivered,4.0,25644.0,2262.42,False,2025,5,May,0.08822414599906411,2.9035002500532245,False,True,normal
ORD100023,2025-06-12,CUST3278,Karachi,Sindh,Sports,Football,4083,2,10,200,Easypaisa,Delivered,4.0,7549.4,1140.83,False,2025,6,Jun,0.15111532042281506,0.22670304808835806,False,False,normal
ORD100024,2025-02-10,CUST3182,Multan,Punjab,Books,Exam Guide,1310,4,0,150,Easypaisa,Delivered,5.0,5390.0,690.78,False,2025,2,Feb,0.1281595547309833,0.09274451515829736,False,False,normal
ORD100025,2025-07-20,CUST1502,Karachi,Sindh,Electronics,Earbuds,3305,4,10,250,Easypaisa,Delivered,5.0,12148.0,1220.98,False,2025,7,Jul,0.10050872571616727,0.9069899631323842,False,False,normal
